threshold,predicted_positive_count,workload_rate,fp,fn,precision,recall,f2,total_cost
0.67,471,0.0294375,136,40,0.7112526539278131,0.8933333333333333,0.8498224251648909,21360
0.68,468,0.02925,134,41,0.7136752136752137,0.8906666666666667,0.8485772357723578,21840
0.69,463,0.0289375,130,42,0.7192224622030238,0.888,0.848191543555782,22300
0.7,455,0.0284375,124,44,0.7274725274725274,0.8826666666666667,0.8465473145780051,23240
0.71,451,0.0281875,121,45,0.7317073170731707,0.88,0.8457201435161456,23710
0.72,443,0.0276875,118,50,0.7336343115124153,0.8666666666666667,0.8363355635615028,26180
0.73,437,0.0273125,112,50,0.7437070938215103,0.8666666666666667,0.8389261744966443,26120
0.74,436,0.02725,111,50,0.7454128440366973,0.8666666666666667,0.8393595041322314,26110
0.75,432,0.027,108,51,0.75,0.864,0.8385093167701863,26580
0.76,429,0.0268125,105,51,0.7552447552447552,0.864,0.8398133748055987,26550
0.77,422,0.026375,101,54,0.7606635071090048,0.856,0.8350676378772112,28010
0.78,416,0.026,96,55,0.7692307692307693,0.8533333333333334,0.8350730688935282,28460
0.79,409,0.0255625,90,56,0.7799511002444988,0.8506666666666667,0.8355159769512834,28900
0.8,404,0.02525,88,59,0.7821782178217822,0.8426666666666667,0.8298319327731092,30380
0.81,397,0.0248125,82,60,0.7934508816120907,0.84,0.8302583025830258,30820
0.82,391,0.0244375,77,61,0.80306905370844,0.8373333333333334,0.8302485457429932,31270
0.83,387,0.0241875,74,62,0.8087855297157622,0.8346666666666667,0.829358770535241,31740
0.84,380,0.02375,67,62,0.8236842105263158,0.8346666666666667,0.8324468085106383,31670
0.85,375,0.0234375,63,63,0.832,0.832,0.832,32130
0.86,370,0.023125,59,64,0.8405405405405405,0.8293333333333334,0.8315508021390375,32590
0.87,368,0.023,57,64,0.845108695652174,0.8293333333333334,0.8324411134903642,32570
0.88,364,0.02275,54,65,0.8516483516483516,0.8266666666666667,0.8315450643776824,33040
0.89,357,0.0223125,52,70,0.8543417366946778,0.8133333333333334,0.8212170166935919,35520
0.9,349,0.0218125,47,73,0.8653295128939829,0.8053333333333333,0.8166576527852892,36970
0.91,343,0.0214375,44,76,0.8717201166180758,0.7973333333333333,0.8111774281063484,38440
0.92,335,0.0209375,40,80,0.8805970149253731,0.7866666666666666,0.8038147138964578,40400
0.93,328,0.0205,37,84,0.8871951219512195,0.776,0.7959518599562363,42370
0.94,320,0.02,35,90,0.890625,0.76,0.782967032967033,45350
0.95,309,0.0193125,30,96,0.9029126213592232,0.744,0.7711442786069652,48300
0.96,291,0.0181875,25,109,0.9140893470790378,0.7093333333333334,0.7426018983807929,54750
0.97,264,0.0165,18,129,0.9318181818181818,0.656,0.697278911564626,64680
0.98,229,0.0143125,8,154,0.965065502183406,0.5893333333333334,0.6390977443609023,77080
0.99,176,0.011,5,204,0.9715909090909092,0.456,0.5101431980906921,102050
