model_name,strategy,threshold,precision,recall,f1,f2,average_precision,tn,fp,fn,tp,false_positive_cost,false_negative_cost,total_cost,candidate_strategy,selection_dataset
xgboost_oof,baseline_median_all,0.85,0.7680751173708921,0.818,0.7922518159806295,0.807502467917078,0.8690765583868693,58753,247,182,818,10,500,93470,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.86,0.7775647171620326,0.811,0.793930494371023,0.8040848701169938,0.8690765583868693,58768,232,189,811,10,500,96820,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.87,0.7834951456310679,0.807,0.7950738916256158,0.8021868787276342,0.8690765583868693,58777,223,193,807,10,500,98730,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.88,0.7895256916996047,0.799,0.794234592445328,0.7970869912210694,0.8690765583868693,58787,213,201,799,10,500,102630,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.89,0.8012170385395537,0.79,0.7955689828801611,0.7922182109907742,0.8690765583868693,58804,196,210,790,10,500,106960,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.9,0.8107549120992761,0.784,0.797153024911032,0.7892087779343668,0.8690765583868693,58817,183,216,784,10,500,109830,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.91,0.8272921108742004,0.776,0.8008255933952528,0.7857432158768732,0.8690765583868693,58838,162,224,776,10,500,113620,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.92,0.8359030837004405,0.759,0.7955974842767296,0.7732273838630807,0.8690765583868693,58851,149,241,759,10,500,121990,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.93,0.8519774011299435,0.754,0.8,0.7717502558853634,0.8690765583868693,58869,131,246,754,10,500,124310,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.94,0.8633686690223793,0.733,0.7928610059491618,0.7558259434935038,0.8690765583868693,58884,116,267,733,10,500,134660,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.95,0.8737745098039216,0.713,0.7852422907488987,0.7402408637873754,0.8690765583868693,58897,103,287,713,10,500,144530,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.96,0.8910761154855643,0.679,0.7707150964812712,0.7129357412851743,0.8690765583868693,58917,83,321,679,10,500,161330,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.97,0.9124820659971306,0.636,0.7495580436063641,0.6770278901426442,0.8690765583868693,58939,61,364,636,10,500,182610,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.98,0.9356913183279743,0.582,0.717632552404439,0.6295975768065772,0.8690765583868693,58960,40,418,582,10,500,209400,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.99,0.9761388286334056,0.45,0.6160164271047228,0.5043712172158709,0.8690765583868693,58989,11,550,450,10,500,275110,baseline_median_all,oof_averaged
xgboost_oof,median_all_bin_projection,0.01,0.1332971358762047,0.982,0.2347316839966535,0.4319521421659189,0.8701103165913205,52615,6385,18,982,10,500,72850,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.02,0.18261846787787975,0.975,0.3076194983435873,0.5220044972695149,0.8701103165913205,54636,4364,25,975,10,500,56140,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.03,0.21164710995219468,0.974,0.34773295251695824,0.5661474075796327,0.8701103165913205,55372,3628,26,974,10,500,49280,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.04,0.23375060182956187,0.971,0.37679472254559565,0.5954132940887907,0.8701103165913205,55817,3183,29,971,10,500,46330,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.05,0.25319759853824064,0.97,0.4015731732560546,0.6193334184650747,0.8701103165913205,56139,2861,30,970,10,500,43610,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.06,0.26928432191590085,0.967,0.42125898497059466,0.6369384797786853,0.8701103165913205,56376,2624,33,967,10,500,42740,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.07,0.2815052508751459,0.965,0.43586269196025296,0.649569197630587,0.8701103165913205,56537,2463,35,965,10,500,42130,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.08,0.29588704726826276,0.964,0.45279473931423203,0.6640947919537062,0.8701103165913205,56706,2294,36,964,10,500,40940,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.09,0.30644132653061223,0.961,0.4647001934235977,0.6733464125560538,0.8701103165913205,56825,2175,39,961,10,500,41250,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.1,0.31840796019900497,0.96,0.47820672478206727,0.684248039914469,0.8701103165913205,56945,2055,40,960,10,500,40550,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.11,0.3274094326725906,0.958,0.4880285277636271,0.6915968813167773,0.8701103165913205,57032,1968,42,958,10,500,40680,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.12,0.3367418899858956,0.955,0.49791449426485923,0.6985078993563487,0.8701103165913205,57119,1881,45,955,10,500,41310,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.13,0.34615384615384615,0.954,0.5079872204472844,0.7060390763765542,0.8701103165913205,57198,1802,46,954,10,500,41020,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.14,0.35322461082283174,0.953,0.515413737155219,0.7114063899671543,0.8701103165913205,57255,1745,47,953,10,500,40950,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.15,0.3616292348686715,0.95,0.5238489109456851,0.7167647502640713,0.8701103165913205,57323,1677,50,950,10,500,41770,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.16,0.36948888021849396,0.947,0.5315745158574235,0.7214688404692976,0.8701103165913205,57384,1616,53,947,10,500,42660,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.17,0.3764424990051731,0.946,0.5385710219185881,0.7262398280362352,0.8701103165913205,57433,1567,54,946,10,500,42670,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.18,0.38377281947261666,0.946,0.546031746031746,0.731631863882444,0.8701103165913205,57481,1519,54,946,10,500,42190,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.19,0.39244186046511625,0.945,0.5545774647887324,0.7373595505617978,0.8701103165913205,57537,1463,55,945,10,500,42130,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.2,0.3963774220724516,0.941,0.5577949021932425,0.7381550047066207,0.8701103165913205,57567,1433,59,941,10,500,43830,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.21,0.40119760479041916,0.938,0.5620131815458358,0.7399810665825182,0.8701103165913205,57600,1400,62,938,10,500,45000,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.22,0.40873362445414846,0.936,0.5689969604863222,0.7440381558028617,0.8701103165913205,57646,1354,64,936,10,500,45540,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.23,0.4150776053215078,0.936,0.5751152073732719,0.7482014388489209,0.8701103165913205,57681,1319,64,936,10,500,45190,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.24,0.42162162162162165,0.936,0.5813664596273292,0.752411575562701,0.8701103165913205,57716,1284,64,936,10,500,44840,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.25,0.42785158039395327,0.934,0.5868677348413447,0.7552967814976549,0.8701103165913205,57751,1249,66,934,10,500,45490,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.26,0.4344186046511628,0.934,0.593015873015873,0.759349593495935,0.8701103165913205,57784,1216,66,934,10,500,45160,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.27,0.44030202925908446,0.933,0.5982686758576466,0.7623794737702239,0.8701103165913205,57814,1186,67,933,10,500,45360,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.28,0.4455587392550143,0.933,0.6031027795733678,0.7655070561207745,0.8701103165913205,57839,1161,67,933,10,500,45110,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.29,0.4515972894482091,0.933,0.6086105675146771,0.7690405539070228,0.8701103165913205,57867,1133,67,933,10,500,44830,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.3,0.45637254901960783,0.931,0.6125,0.7706953642384106,0.8701103165913205,57891,1109,69,931,10,500,45590,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.31,0.46387643248629795,0.931,0.6192218157632191,0.7749292492092559,0.8701103165913205,57924,1076,69,931,10,500,45260,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.32,0.46939807789580174,0.928,0.6234464225730602,0.7763091852099716,0.8701103165913205,57951,1049,72,928,10,500,46490,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.33,0.4780814853017019,0.927,0.6308268118407622,0.7804344165684459,0.8701103165913205,57988,1012,73,927,10,500,46620,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.34,0.48530954879328436,0.925,0.6366139022711631,0.7831019302404335,0.8701103165913205,58019,981,75,925,10,500,47310,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.35,0.49228312932410856,0.925,0.6425842306356374,0.7866984180983161,0.8701103165913205,58046,954,75,925,10,500,47040,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.36,0.5,0.925,0.6491228070175439,0.7905982905982906,0.8701103165913205,58075,925,75,925,10,500,46750,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.37,0.5049234135667396,0.923,0.6527581329561527,0.7918668496911462,0.8701103165913205,58095,905,77,923,10,500,47550,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.38,0.5077177508269018,0.921,0.6545842217484008,0.7920536635706914,0.8701103165913205,58107,893,79,921,10,500,48430,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.39,0.5128205128205128,0.92,0.658554044380816,0.7939247497411115,0.8701103165913205,58126,874,80,920,10,500,48740,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.4,0.5168918918918919,0.918,0.6613832853025937,0.7946675900277008,0.8701103165913205,58142,858,82,918,10,500,49580,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.41,0.5204778156996587,0.915,0.6635242929659173,0.7945467176102814,0.8701103165913205,58157,843,85,915,10,500,50930,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.42,0.5249569707401033,0.915,0.6671527524608093,0.7966219745777469,0.8701103165913205,58172,828,85,915,10,500,50780,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.43,0.5307424593967517,0.915,0.6718061674008811,0.799266247379455,0.8701103165913205,58191,809,85,915,10,500,50590,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.44,0.5371024734982333,0.912,0.676056338028169,0.8002808002808003,0.8701103165913205,58214,786,88,912,10,500,51860,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.45,0.543010752688172,0.909,0.6798803290949887,0.8010222065562214,0.8701103165913205,58235,765,91,909,10,500,53150,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.46,0.5476477683956574,0.908,0.6832204665161776,0.8024036762106751,0.8701103165913205,58250,750,92,908,10,500,53500,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.47,0.5514929920780012,0.905,0.6853464596743658,0.8021627371033505,0.8701103165913205,58264,736,95,905,10,500,54860,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.48,0.55637707948244,0.903,0.6885245901639344,0.8029521607682731,0.8701103165913205,58280,720,97,903,10,500,55700,median_all_bin_projection,oof_averaged
xgboost_oof,median_all_bin_projection,0.49,0.5624219725343321,0.901,0.6925441967717141,0.8041770796144234,0.8701103165913205,58299,701,99,901,10,500,56510,median_all_bin_projection,oof_averaged
