model_name,strategy,threshold,precision,recall,f1,f2,average_precision,tn,fp,fn,tp,false_positive_cost,false_negative_cost,total_cost
dummy_prior,drop_high_missing_median,0.87,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.88,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.89,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.9,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.91,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.92,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.93,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.94,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.95,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.96,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.97,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.98,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.99,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.01,0.0234375,1.0,0.04580152671755725,0.10714285714285714,0.0234375,0,15625,0,375,10,500,156250
dummy_prior,median_all,0.02,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.03,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.04,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.05,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.06,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.07,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.08,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.09,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.1,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.11,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.12,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.13,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
