model_name,strategy,threshold,precision,recall,f1,f2,average_precision,tn,fp,fn,tp,false_positive_cost,false_negative_cost,total_cost,base_candidate_strategy,selection_dataset
xgboost_oof_base,median_all_prefix_zero_rate,0.68,0.6531835205992509,0.872,0.7468950749464668,0.817244611059044,0.8713012577250833,58537,463,128,872,10,500,68630,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.69,0.6583522297808012,0.871,0.749892380542402,0.8181476610933685,0.8713012577250833,58548,452,129,871,10,500,69020,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.7,0.6648773006134969,0.867,0.7526041666666666,0.8173076923076923,0.8713012577250833,58563,437,133,867,10,500,70870,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.71,0.6726144297905353,0.867,0.7575360419397117,0.8196256381168463,0.8713012577250833,58578,422,133,867,10,500,70720,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.72,0.6779261586802828,0.863,0.7593488781346238,0.8183197420823061,0.8713012577250833,58590,410,137,863,10,500,72600,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.73,0.6839171974522293,0.859,0.7615248226950354,0.8171613394216134,0.8713012577250833,58603,397,141,859,10,500,74470,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.74,0.6916868442292171,0.857,0.7655203215721305,0.8179041801870586,0.8713012577250833,58618,382,143,857,10,500,75320,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.75,0.6977124183006536,0.854,0.7679856115107914,0.8173813169984686,0.8713012577250833,58630,370,146,854,10,500,76700,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.76,0.7028145695364238,0.849,0.7690217391304348,0.8150921658986175,0.8713012577250833,58641,359,151,849,10,500,79090,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.77,0.7091366303436715,0.846,0.771545827633379,0.8145580589254766,0.8713012577250833,58653,347,154,846,10,500,80470,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.78,0.7158608990670059,0.844,0.7746672785681505,0.8148291175902684,0.8713012577250833,58665,335,156,844,10,500,81350,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.79,0.7235142118863049,0.84,0.7774178621008793,0.8137957760124007,0.8713012577250833,58679,321,160,840,10,500,83210,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.8,0.7266375545851529,0.832,0.7757575757575758,0.8085519922254616,0.8713012577250833,58687,313,168,832,10,500,87130,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.81,0.7312775330396476,0.83,0.7775175644028103,0.8081791626095424,0.8713012577250833,58695,305,170,830,10,500,88050,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.82,0.7386262265834077,0.828,0.7807637906647807,0.8084358523725835,0.8713012577250833,58707,293,172,828,10,500,88930,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.83,0.7459312839059674,0.825,0.7834757834757835,0.8078730904817861,0.8713012577250833,58719,281,175,825,10,500,90310,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.84,0.7550644567219152,0.82,0.7861936720997124,0.8061344868265827,0.8713012577250833,58734,266,180,820,10,500,92660,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.85,0.764265668849392,0.817,0.7897535041082648,0.8058788715723022,0.8713012577250833,58748,252,183,817,10,500,94020,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.86,0.7729885057471264,0.807,0.7896281800391389,0.7999603489294211,0.8713012577250833,58763,237,193,807,10,500,98870,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.87,0.7835455435847208,0.8,0.7916872835230084,0.7966540529774945,0.8713012577250833,58779,221,200,800,10,500,102210,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.88,0.7910447761194029,0.795,0.7930174563591023,0.7942057942057942,0.8713012577250833,58790,210,205,795,10,500,104600,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.89,0.8059244126659857,0.789,0.7973724103082365,0.7923277766619803,0.8713012577250833,58810,190,211,789,10,500,107400,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.9,0.8216159496327388,0.783,0.8018433179723502,0.7904300423985463,0.8713012577250833,58830,170,217,783,10,500,110200,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.91,0.8394793926247288,0.774,0.8054110301768991,0.7862657456318569,0.8713012577250833,58852,148,226,774,10,500,114480,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.92,0.8521836506159015,0.761,0.8040147913365029,0.7776415287144901,0.8713012577250833,58868,132,239,761,10,500,120820,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.93,0.8635838150289017,0.747,0.8010723860589812,0.7677286742034943,0.8713012577250833,58882,118,253,747,10,500,127680,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.94,0.8735083532219571,0.732,0.7965179542981502,0.7565109549400578,0.8713012577250833,58894,106,268,732,10,500,135060,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.95,0.8868159203980099,0.713,0.7904656319290465,0.742089925062448,0.8713012577250833,58909,91,287,713,10,500,144410,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.96,0.903183023872679,0.681,0.7765108323831242,0.716238956668069,0.8713012577250833,58927,73,319,681,10,500,160230,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.97,0.9074074074074074,0.637,0.7485311398354877,0.6773713313483624,0.8713012577250833,58935,65,363,637,10,500,182150,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.98,0.9341894060995185,0.582,0.7171903881700554,0.6294613887086308,0.8713012577250833,58959,41,418,582,10,500,209410,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.99,0.9746835443037974,0.462,0.6268656716417911,0.5163164953062137,0.8713012577250833,58988,12,538,462,10,500,269120,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_structural_all,0.01,0.12287287287287288,0.982,0.21841637010676157,0.4094396264176117,0.8710981135618879,51990,7010,18,982,10,500,79100,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.02,0.17348027017419126,0.976,0.29459704195593117,0.5069603158113443,0.8710981135618879,54350,4650,24,976,10,500,58500,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.03,0.20595690747782003,0.975,0.3400767352633415,0.5581634989695443,0.8710981135618879,55241,3759,25,975,10,500,50090,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.04,0.22933835648693196,0.974,0.37125976748618256,0.5905177640354068,0.8710981135618879,55727,3273,26,974,10,500,45730,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.05,0.24802245470783363,0.972,0.3952022768855458,0.6137138527591868,0.8710981135618879,56053,2947,28,972,10,500,43470,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.06,0.26288659793814434,0.969,0.41357234314980795,0.6303669008587042,0.8710981135618879,56283,2717,31,969,10,500,42670,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.07,0.27636467562160616,0.967,0.42987330517892863,0.6447526336844913,0.8710981135618879,56468,2532,33,967,10,500,41820,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.08,0.2892215568862275,0.966,0.44516129032258067,0.6580381471389646,0.8710981135618879,56626,2374,34,966,10,500,40740,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.09,0.30131004366812225,0.966,0.4593437945791726,0.6702747710241466,0.8710981135618879,56760,2240,34,966,10,500,39400,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.1,0.3112261404076351,0.962,0.47030065998533366,0.67832463686363,0.8710981135618879,56871,2129,38,962,10,500,40290,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.11,0.3194675540765391,0.96,0.4794007490636704,0.6852248394004282,0.8710981135618879,56955,2045,40,960,10,500,40450,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.12,0.32819986310746063,0.959,0.4890362060173381,0.6927188673793702,0.8710981135618879,57037,1963,41,959,10,500,40130,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.13,0.3370865587614356,0.958,0.4986985944820406,0.7000876936568254,0.8710981135618879,57116,1884,42,958,10,500,39840,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.14,0.3436265709156194,0.957,0.5056803170409512,0.705232129697863,0.8710981135618879,57172,1828,43,957,10,500,39780,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.15,0.35151068533529845,0.954,0.5137318255250404,0.710455764075067,0.8710981135618879,57240,1760,46,954,10,500,40600,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.16,0.36074270557029176,0.952,0.523220665017862,0.7169754481096551,0.8710981135618879,57313,1687,48,952,10,500,40870,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.17,0.3682576639503298,0.949,0.5306122448979592,0.7214535502508742,0.8710981135618879,57372,1628,51,949,10,500,41780,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.18,0.3752969121140142,0.948,0.5377197958026092,0.726325467361324,0.8710981135618879,57422,1578,52,948,10,500,41780,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.19,0.38116410670978174,0.943,0.5428900402993667,0.7282978066110596,0.8710981135618879,57469,1531,57,943,10,500,43810,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.2,0.38740222313709344,0.941,0.5488480606590843,0.7318400995489189,0.8710981135618879,57512,1488,59,941,10,500,44380,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.21,0.3938886563415655,0.941,0.5553260548834464,0.7364219752699953,0.8710981135618879,57552,1448,59,941,10,500,43980,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.22,0.4021413276231263,0.939,0.5631184407796102,0.7411207576953434,0.8710981135618879,57604,1396,61,939,10,500,44460,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.23,0.4093286835222319,0.939,0.5701275045537341,0.7459485224022879,0.8710981135618879,57645,1355,61,939,10,500,44050,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.24,0.4161490683229814,0.938,0.576521204671174,0.7499200511672529,0.8710981135618879,57684,1316,62,938,10,500,44160,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.25,0.4232158988256549,0.937,0.5830740510267579,0.7539427100096556,0.8710981135618879,57723,1277,63,937,10,500,44270,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.26,0.4308045977011494,0.937,0.590236220472441,0.7587044534412956,0.8710981135618879,57762,1238,63,937,10,500,43880,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.27,0.4370023419203747,0.933,0.5952153110047846,0.7603911980440098,0.8710981135618879,57798,1202,67,933,10,500,45520,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.28,0.44365192582025675,0.933,0.6013535288430552,0.764378174668196,0.8710981135618879,57830,1170,67,933,10,500,45200,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.29,0.44932432432432434,0.931,0.6061197916666666,0.7666337285902504,0.8710981135618879,57859,1141,69,931,10,500,45910,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.3,0.45481191988275527,0.931,0.6110928782408926,0.7698032082024144,0.8710981135618879,57884,1116,69,931,10,500,45660,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.31,0.46226415094339623,0.931,0.6177836761778368,0.7740272697040239,0.8710981135618879,57917,1083,69,931,10,500,45330,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.32,0.46683417085427137,0.929,0.6214046822742475,0.7754590984974958,0.8710981135618879,57939,1061,71,929,10,500,46110,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.33,0.47106598984771575,0.928,0.6249158249158249,0.7772194304857621,0.8710981135618879,57958,1042,72,928,10,500,46420,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.34,0.4768280123583934,0.926,0.6295037389530931,0.7791989229215752,0.8710981135618879,57984,1016,74,926,10,500,47160,median_all_structural_all,oof_averaged
xgboost_oof_base,median_all_structural_all,0.35,0.48125,0.924,0.6328767123287671,0.7804054054054054,0.8710981135618879,58004,996,76,924,10,500,47960,median_all_structural_all,oof_averaged
