threshold,predicted_positive_count,predicted_negative_count,tp,fp,tn,fn,precision_score,recall_score,f1_score,f2_score,fp_cost,fn_cost,total_cost,workload_rate
0.2,725,15275,362,363,15262,13,0.4993103448275862,0.9653333333333334,0.6581818181818182,0.8134831460674158,10,500,10130,0.0453125
0.21,711,15289,362,349,15276,13,0.509142053445851,0.9653333333333334,0.6666666666666667,0.8186341022161918,10,500,9990,0.0444375
0.22,703,15297,362,341,15284,13,0.5149359886201992,0.9653333333333334,0.6716141001855288,0.8216068996822515,10,500,9910,0.0439375
0.23,689,15311,359,330,15295,16,0.521044992743106,0.9573333333333334,0.6748120300751881,0.8200091365920512,10,500,11300,0.0430625
0.24,681,15319,357,324,15301,18,0.5242290748898678,0.952,0.6761363636363636,0.8184319119669875,10,500,12240,0.0425625
0.25,671,15329,355,316,15309,20,0.5290611028315947,0.9466666666666667,0.6787762906309752,0.81759557807462,10,500,13160,0.0419375
0.26,665,15335,354,311,15314,21,0.5323308270676692,0.944,0.6807692307692308,0.8175519630484989,10,500,13610,0.0415625
0.27,658,15342,353,305,15320,22,0.5364741641337386,0.9413333333333334,0.6834462729912876,0.8178869323447638,10,500,14050,0.041125
0.28,644,15356,351,293,15332,24,0.5450310559006211,0.936,0.6889106967615308,0.8185634328358209,10,500,14930,0.04025
0.29,638,15362,351,287,15338,24,0.5501567398119123,0.936,0.6929911154985193,0.8208606173994388,10,500,14870,0.039875
0.3,630,15370,350,280,15345,25,0.5555555555555556,0.9333333333333333,0.6965174129353234,0.8215962441314553,10,500,15300,0.039375
0.31,622,15378,350,272,15353,25,0.5627009646302251,0.9333333333333333,0.7021063189568706,0.8246936852026391,10,500,15220,0.038875
0.32,619,15381,350,269,15356,25,0.5654281098546042,0.9333333333333333,0.7042253521126761,0.8258612553091081,10,500,15190,0.0386875
0.33,607,15393,350,257,15368,25,0.5766062602965404,0.9333333333333333,0.7128309572301426,0.8305647840531561,10,500,15070,0.0379375
0.34,598,15402,349,249,15376,26,0.5836120401337793,0.9306666666666666,0.7173689619732785,0.8317445185891325,10,500,15490,0.037375
0.35,593,15407,349,244,15381,26,0.5885328836424958,0.9306666666666666,0.7210743801652892,0.833731485905399,10,500,15440,0.0370625
0.36,590,15410,349,241,15384,26,0.5915254237288136,0.9306666666666666,0.7233160621761657,0.8349282296650719,10,500,15410,0.036875
0.37,585,15415,349,236,15389,26,0.5965811965811966,0.9306666666666666,0.7270833333333334,0.8369304556354916,10,500,15360,0.0365625
0.38,584,15416,348,236,15389,27,0.5958904109589042,0.928,0.7257559958289885,0.8349328214971209,10,500,15860,0.0365
0.39,580,15420,347,233,15392,28,0.5982758620689655,0.9253333333333333,0.7267015706806284,0.8341346153846154,10,500,16330,0.03625
0.4,573,15427,346,227,15398,29,0.6038394415357766,0.9226666666666666,0.729957805907173,0.834539315002412,10,500,16770,0.0358125
0.41,566,15434,345,221,15404,30,0.6095406360424028,0.92,0.7332624867162594,0.834946757018393,10,500,17210,0.035375
0.42,559,15441,344,215,15410,31,0.6153846153846154,0.9173333333333333,0.7366167023554605,0.8353569694026226,10,500,17650,0.0349375
0.43,555,15445,344,211,15414,31,0.6198198198198198,0.9173333333333333,0.7397849462365591,0.8369829683698297,10,500,17610,0.0346875
0.44,554,15446,344,210,15415,31,0.6209386281588448,0.9173333333333333,0.7405812701829925,0.8373904576436222,10,500,17600,0.034625
0.45,552,15448,343,209,15416,32,0.6213768115942029,0.9146666666666666,0.7400215749730312,0.8357699805068226,10,500,18090,0.0345
0.46,545,15455,343,202,15423,32,0.6293577981651376,0.9146666666666666,0.7456521739130435,0.8386308068459658,10,500,18020,0.0340625
0.47,543,15457,343,200,15425,32,0.6316758747697975,0.9146666666666666,0.747276688453159,0.8394517865883505,10,500,18000,0.0339375
0.48,539,15461,342,197,15428,33,0.634508348794063,0.912,0.74835886214442,0.8386463952918098,10,500,18470,0.0336875
0.49,533,15467,341,192,15433,34,0.6397748592870544,0.9093333333333333,0.751101321585903,0.838662075750123,10,500,18920,0.0333125
0.5,531,15469,341,190,15435,34,0.6421845574387948,0.9093333333333333,0.7527593818984547,0.8394879369768588,10,500,18900,0.0331875
0.51,527,15473,341,186,15439,34,0.6470588235294118,0.9093333333333333,0.7560975609756098,0.8411445485939812,10,500,18860,0.0329375
0.52,526,15474,341,185,15440,34,0.6482889733840305,0.9093333333333333,0.7569367369589345,0.8415597235932872,10,500,18850,0.032875
0.53,518,15482,341,177,15448,34,0.6583011583011583,0.9093333333333333,0.7637178051511758,0.8448959365708623,10,500,18770,0.032375
0.54,516,15484,341,175,15450,34,0.6608527131782945,0.9093333333333333,0.7654320987654321,0.845734126984127,10,500,18750,0.03225
0.55,510,15490,340,170,15455,35,0.6666666666666666,0.9066666666666666,0.7683615819209039,0.8457711442786069,10,500,19200,0.031875
0.56,508,15492,340,168,15457,35,0.6692913385826772,0.9066666666666666,0.7701019252548132,0.8466135458167331,10,500,19180,0.03175
0.57,503,15497,340,163,15462,35,0.6759443339960238,0.9066666666666666,0.7744874715261959,0.8487269096355468,10,500,19130,0.0314375
0.58,500,15500,340,160,15465,35,0.68,0.9066666666666666,0.7771428571428572,0.85,10,500,19100,0.03125
0.59,498,15502,340,158,15467,35,0.6827309236947792,0.9066666666666666,0.7789232531500573,0.8508508508508509,10,500,19080,0.031125
0.6,493,15507,338,155,15470,37,0.6855983772819473,0.9013333333333333,0.7788018433179723,0.8479678876066231,10,500,20050,0.0308125
